text,font_size,font_name,y_coord,page,source_pdf,label
ongoing engagement and partnership with a donor. These requests represent a greater dilemma for,11,SourceSansPro-Regular,467.0414124,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
humanitarian actors.,11,SourceSansPro-Regular,480.2414246,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Few donors have formal data sharing policies or guidelines in place. 7  There is also a lack of shared,11,SourceSansPro-Regular,506.6414185,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
understanding of terminology and of the objectives and risks around data sharing. There are different,11,SourceSansPro-Regular,519.8495483,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"definitions and understanding of data-related risks, leading to inconsistent and sometimes contradictory",11,SourceSansPro-Regular,533.0494995,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
practices around sharing potentially sensitive data with donors in a particular context. 8,11,SourceSansPro-Regular,546.2495728,2,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
THE CENTRE FOR HUMANITARIAN DATA,8,SourceSansPro-Regular,791.6342163,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
3,8,OpenSans-Regular,791.6113281,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Dec-20,8,SourceSansPro-Regular,791.673584,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
9    See NRC's  Toolkit for Principled Humanitarian Action; Managing CT Risks .,4.518199921,Stag-Medium,677.6782837,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"10  In order to ensure compliance, donors might request highly disaggregated data to corroborate their due diligence processes, ensuring their partners",4.518199921,Stag-Medium,689.6782837,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"are not engaging with any â€˜sanctionedâ€™ person or entityâ€™. See Walker, J., 2020.  Compliance Dialogue on Syria-Related Humanitarian Payments .",7.5,Stag-Book,698.5401611,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"â€˜Sanctioned personsâ€™ is a general term which may include individuals, terrorist groups, governments as well as companies and other entities of legal",7.5,Stag-Book,707.5401611,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"personality. The EU, for example, has over the years considerably strengthened its legal framework for preventing money laundering and terrorism",7.5,Stag-Book,716.5401611,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"financing in recent years and is constantly enforcing in. See: NGO Voice, 2020 . The Impact of EU Sanctions and Restrictive Measures on",7.5,Stag-Book,725.5401611,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Humanitarian Action.,7.5,Stag-Medium,734.4501343,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"11   Inter-Agency Standing Committee (IASC) Humanitarian Financing Task Team (HFTT), 2016.  Donor Conditions and their implications for",4.518199921,Stag-Medium,746.6782837,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
humanitarian response .,7.5,Stag-Medium,755.4501343,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"12  Publish What You Fund, 2020.  Data Use Capacity in Protracted Humanitarian Crises .",4.518199921,Stag-Medium,767.6782837,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
CONSTRAINTS FOR DATA SHARING WITH DONORS,11,OpenSans-Bold,371.2955017,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,3
"Despite these objectives, data sharing with donors is not without its constraints, which include a lack of",11,SourceSansPro-Regular,395.9794922,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"regulatory frameworks for responsibly managing sensitive non-personal data, capacity gaps and lack of",11,SourceSansPro-Regular,409.1795044,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
purpose limitation.,11,SourceSansPro-Regular,422.3795166,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Lack of regulatory frameworks for responsibly managing sensitive non-personal data,11,SourceSansPro-Black,448.1635132,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,4
The sensitivity of personal data is generally well-known and addressed by a variety of policy and regulatory,11,SourceSansPro-Regular,461.9795227,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"frameworks, but the same cannot be said for sensitive non-personal data. Protecting groups and their",11,SourceSansPro-Regular,475.1795349,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
data remains challenging due to the current gaps in regulation and guidance and the overall lack of,11,SourceSansPro-Regular,488.3795471,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
understanding regarding the sensitivity of non-personal data. These data policy gaps increase the risk of,11,SourceSansPro-Regular,501.5795288,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
sensitive data not being stored or protected adequately or shared inadvertently by partners in order to,11,SourceSansPro-Regular,514.7796021,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
satisfy donorsâ€™ requests.,11,SourceSansPro-Regular,527.9795532,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Capacity gaps,11,SourceSansPro-Bold,553.9285889,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,3
Responding to ad-hoc data sharing requests from donors can be viewed as an additional burden to,11,SourceSansPro-Regular,567.5795898,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"humanitarian responders, diverting critical time, resources and focus away from other implementing",11,SourceSansPro-Regular,580.7796021,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
activities. 11  Insufficient funding for data-related capacity development has limited many organizationsâ€™,11,SourceSansPro-Regular,593.9795532,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
ability to provide their staff with the skills and resources required for managing data responsibly. 12  Gaps,11,SourceSansPro-Regular,607.1832886,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"in capacity to fulfil donor requirements might also deter smaller and/or local NGOs from seeking funding,",11,SourceSansPro-Regular,620.3833008,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
undermining localization efforts. 13,11,SourceSansPro-Regular,633.583313,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
OBJECTIVES FOR DATA SHARING WITH DONORS,11,OpenSans-Bold,44.84671402,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,3
The most commonly identified objectives for donors requesting sensitive data from partners are,11,SourceSansPro-Regular,69.68470001,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"situational awareness and programme design; accountability and transparency; and legal, regulatory, and",11,SourceSansPro-Regular,82.88471222,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
policy requirements.,11,SourceSansPro-Regular,96.08472443,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Situational awareness and programme design,11,SourceSansPro-Black,121.8687515,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Donors seek information and data from humanitarian organizations in order to understand and react,11,SourceSansPro-Regular,135.6847687,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
to changes in humanitarian contexts. This allows donors to improve their own programme design and,11,SourceSansPro-Regular,148.8847809,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"evaluation, prevent duplication of assistance, identify information gaps, and ensure appropriate targeting",11,SourceSansPro-Regular,162.0847931,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
of assistance.,11,SourceSansPro-Regular,175.2848053,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Accountability and transparency,11,SourceSansPro-Bold,201.2338257,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,4
Donors and humanitarian organizations have an obligation to account for their activities. Data can enable,11,SourceSansPro-Regular,214.8848419,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
donors to explain and defend funding on foreign aid to taxpayers.,11,SourceSansPro-Regular,228.0848541,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"Legal, regulatory, and policy requirements",11,SourceSansPro-Bold,254.0338745,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,4
"Donors are subject to certain national and international legal requirements, including political, legal and",11,SourceSansPro-Regular,267.6848755,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"statutory requirements related to counter-terrorism, migration and law enforcement. In many cases,",11,SourceSansPro-Regular,280.8848877,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
donors might want to use data to verify their compliance with these different requirements. Some donors,11,SourceSansPro-Regular,294.0848999,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"include counterterrorism clauses in their grant agreements, which are intended to ensure that their funds",11,SourceSansPro-Regular,307.2849121,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"are not used to benefit designated terrorist groups. 9  Similarly, donors might include clauses to cover anti-",11,SourceSansPro-Regular,320.4849243,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"bribery, anti-fraud and anti-corruption measures. 10",11,SourceSansPro-Regular,333.6841125,3,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
THE CENTRE FOR HUMANITARIAN DATA,8,SourceSansPro-Regular,791.6342163,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
4,8,OpenSans-Regular,791.6113281,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
Dec-20,8,SourceSansPro-Regular,791.673584,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"14   ICRC, 2020.  Handbook on data protection in humanitarian action .",4.518199921,Stag-Medium,756.3317261,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
15   Examples include the  Good Humanitarian Donorship Initiative  and the  Grand Bargain .,4.518199921,Stag-Medium,768.3317261,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
RECOMMENDATIONS,11,OpenSans-Bold,175.5960388,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,3
"In view of the objectives and constraints detailed above, the Centre, the Humanitarian Policy Group (HPG)",11,SourceSansPro-Regular,200.2800446,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"at ODI, the ICRC, and the Human Security Division of the Swiss Federal Department of Foreign Affairs",11,SourceSansPro-Regular,213.4800568,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
recommend that donors and humanitarian organizations take the following steps to minimize risks while,11,SourceSansPro-Regular,226.680069,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
maximizing benefits when sharing sensitive data:,11,SourceSansPro-Regular,239.8800812,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"â€¢	 Reviewing and clarifying the formal or informal frameworks that govern the collection and",11,SourceSansPro-Bold,265.8291016,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,4
sharing of disaggregated data,11,SourceSansPro-Bold,279.0291138,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,4
"Donors and partners should examine the official, formal requirements and ad-hoc, informal",11,SourceSansPro-Regular,292.6801147,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"requirements of data sharing, and analyse partner and donor staff interpret whether requirements",11,SourceSansPro-Regular,305.880127,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
correctly and consistently. They should assess whether there are implicit conditionalities between the,11,SourceSansPro-Regular,319.0801392,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
willingness to share disaggregated data and the ability of different organizations to access and sustain,11,SourceSansPro-Regular,332.2801514,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
funding from donors.,11,SourceSansPro-Regular,345.4801636,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"â€¢	 Formalizing and standardizing requests for sensitive data",11,SourceSansPro-Bold,371.4291687,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,4
"When sensitive data is required to meet a mutually agreed objective, donors should formalize and",11,SourceSansPro-Regular,385.0801697,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
standardize their requests for such data. Requests should be made in writing and should specify,11,SourceSansPro-Regular,398.2801819,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"which data is requested, the format desired, and the intended use of the data. Donors should only",11,SourceSansPro-Regular,411.4801941,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
request the information required to meet the specified purpose for which it is being requested and,11,SourceSansPro-Regular,424.6802063,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
should indicate a timeline for destruction of the data. Humanitarian organisations should document,11,SourceSansPro-Regular,437.8802185,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
all requests for data and ensure consistency in responding to these requests over time.,11,SourceSansPro-Regular,451.0802307,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"â€¢	 Investing in data management capacities of staff and organizations",11,SourceSansPro-Bold,477.0292358,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,4
Donors and humanitarian organizations should identify opportunities to invest in building data,11,SourceSansPro-Regular,490.6802368,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
management expertise especially for non-technical staff. The donor community is uniquely positioned,11,SourceSansPro-Regular,503.880249,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
to encourage data responsibility by  providing additional  resources for training and capacity building.,11,SourceSansPro-Regular,517.0802612,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"â€¢	 Adopting common principles for donor data management",11,SourceSansPro-Bold,543.0292969,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,4
The sector already has a range of principles and commitments to inform different aspects of,11,SourceSansPro-Regular,556.6802368,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"humanitarian donorship. 15  However, these do not sufficiently address concerns related to data",11,SourceSansPro-Regular,569.8803101,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
responsibility. Donors and partners should engage in the development of common principles and,11,SourceSansPro-Regular,583.0838013,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
"guidelines for donor data sharing to fill this gap. The  Humanitarian Data and Trust Initiative , co-led",11,SourceSansPro-Regular,596.2838135,4,08036c5a50a93da84c5c45ba468c58159d75281e.pdf,5
